['Moscow Sheremetyevo International Airport (SVO)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Sochi International Airport (AER)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Moscow Domodedovo Airport (DME)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Moscow Domodedovo Airport (DME)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Moscow Domodedovo Airport (DME)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Moscow Domodedovo Airport (DME)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Sochi International Airport (AER)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Saint Petersburg Pulkovo Airport (LED)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Saint Petersburg Pulkovo Airport (LED)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Sochi International Airport (AER)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Kazan International Airport (KZN)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Kazan International Airport (KZN)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Kazan International Airport (KZN)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Kazan International Airport (KZN)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Sochi International Airport (AER)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
