['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Dublin Airport (DUB)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Dublin Airport (DUB)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Brussels Airport (BRU)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Brussels Airport (BRU)', 'Air France']
['London Heathrow Airport (LHR)', 'Brussels Airport (BRU)', 'British Airways']
['London Heathrow Airport (LHR)', 'Brussels Airport (BRU)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Brussels Airport (BRU)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Lisbon Humberto Delgado Airport (LIS)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Lisbon Humberto Delgado Airport (LIS)', 'Air France']
['London Heathrow Airport (LHR)', 'Lisbon Humberto Delgado Airport (LIS)', 'British Airways']
['London Heathrow Airport (LHR)', 'Lisbon Humberto Delgado Airport (LIS)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Lisbon Humberto Delgado Airport (LIS)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Athens International Airport (ATH)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Athens International Airport (ATH)', 'Air France']
['London Heathrow Airport (LHR)', 'Athens International Airport (ATH)', 'British Airways']
['London Heathrow Airport (LHR)', 'Athens International Airport (ATH)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Athens International Airport (ATH)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Warsaw Chopin Airport (WAW)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Warsaw Chopin Airport (WAW)', 'Air France']
['London Heathrow Airport (LHR)', 'Warsaw Chopin Airport (WAW)', 'British Airways']
['London Heathrow Airport (LHR)', 'Warsaw Chopin Airport (WAW)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Warsaw Chopin Airport (WAW)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Prague Václav Havel Airport (PRG)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Prague Václav Havel Airport (PRG)', 'Air France']
['London Heathrow Airport (LHR)', 'Prague Václav Havel Airport (PRG)', 'British Airways']
['London Heathrow Airport (LHR)', 'Prague Václav Havel Airport (PRG)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Prague Václav Havel Airport (PRG)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'London Heathrow Airport (LHR)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'London Heathrow Airport (LHR)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'London Heathrow Airport (LHR)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'London Heathrow Airport (LHR)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'London Heathrow Airport (LHR)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Amsterdam Airport Schiphol (AMS)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Amsterdam Airport Schiphol (AMS)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Amsterdam Airport Schiphol (AMS)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Amsterdam Airport Schiphol (AMS)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Amsterdam Airport Schiphol (AMS)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Frankfurt Airport (FRA)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Frankfurt Airport (FRA)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Frankfurt Airport (FRA)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Frankfurt Airport (FRA)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Frankfurt Airport (FRA)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Barcelona-El Prat Airport (BCN)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Barcelona-El Prat Airport (BCN)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Barcelona-El Prat Airport (BCN)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Barcelona-El Prat Airport (BCN)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Munich Airport (MUC)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Munich Airport (MUC)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Munich Airport (MUC)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Munich Airport (MUC)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Munich Airport (MUC)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Zurich Airport (ZRH)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Zurich Airport (ZRH)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Zurich Airport (ZRH)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Zurich Airport (ZRH)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Zurich Airport (ZRH)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Vienna International Airport (VIE)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Vienna International Airport (VIE)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Vienna International Airport (VIE)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Vienna International Airport (VIE)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Vienna International Airport (VIE)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Istanbul Airport (IST)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Istanbul Airport (IST)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Istanbul Airport (IST)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Istanbul Airport (IST)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Istanbul Airport (IST)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Copenhagen Airport (CPH)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Copenhagen Airport (CPH)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Copenhagen Airport (CPH)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Copenhagen Airport (CPH)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Copenhagen Airport (CPH)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Oslo Gardermoen Airport (OSL)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Oslo Gardermoen Airport (OSL)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Oslo Gardermoen Airport (OSL)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Oslo Gardermoen Airport (OSL)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Oslo Gardermoen Airport (OSL)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Stockholm Arlanda Airport (ARN)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Stockholm Arlanda Airport (ARN)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Stockholm Arlanda Airport (ARN)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Stockholm Arlanda Airport (ARN)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Stockholm Arlanda Airport (ARN)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Dublin Airport (DUB)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Dublin Airport (DUB)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Dublin Airport (DUB)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Dublin Airport (DUB)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Dublin Airport (DUB)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Brussels Airport (BRU)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Brussels Airport (BRU)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Brussels Airport (BRU)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Brussels Airport (BRU)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Brussels Airport (BRU)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Lisbon Humberto Delgado Airport (LIS)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Lisbon Humberto Delgado Airport (LIS)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Lisbon Humberto Delgado Airport (LIS)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Lisbon Humberto Delgado Airport (LIS)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Lisbon Humberto Delgado Airport (LIS)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Athens International Airport (ATH)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Athens International Airport (ATH)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Athens International Airport (ATH)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Athens International Airport (ATH)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Athens International Airport (ATH)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Warsaw Chopin Airport (WAW)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Warsaw Chopin Airport (WAW)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Warsaw Chopin Airport (WAW)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Warsaw Chopin Airport (WAW)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Warsaw Chopin Airport (WAW)', 'KLM Royal Dutch Airlines']
['Paris Charles de Gaulle Airport (CDG)', 'Prague Václav Havel Airport (PRG)', 'Lufthansa']
['Paris Charles de Gaulle Airport (CDG)', 'Prague Václav Havel Airport (PRG)', 'Air France']
['Paris Charles de Gaulle Airport (CDG)', 'Prague Václav Havel Airport (PRG)', 'British Airways']
['Paris Charles de Gaulle Airport (CDG)', 'Prague Václav Havel Airport (PRG)', 'Ryanair']
['Paris Charles de Gaulle Airport (CDG)', 'Prague Václav Havel Airport (PRG)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'London Heathrow Airport (LHR)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'London Heathrow Airport (LHR)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'London Heathrow Airport (LHR)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'London Heathrow Airport (LHR)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'London Heathrow Airport (LHR)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Paris Charles de Gaulle Airport (CDG)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Paris Charles de Gaulle Airport (CDG)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Paris Charles de Gaulle Airport (CDG)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Frankfurt Airport (FRA)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Frankfurt Airport (FRA)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Frankfurt Airport (FRA)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Frankfurt Airport (FRA)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Frankfurt Airport (FRA)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Barcelona-El Prat Airport (BCN)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Barcelona-El Prat Airport (BCN)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Barcelona-El Prat Airport (BCN)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Barcelona-El Prat Airport (BCN)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Munich Airport (MUC)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Munich Airport (MUC)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Munich Airport (MUC)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Munich Airport (MUC)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Munich Airport (MUC)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Zurich Airport (ZRH)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Zurich Airport (ZRH)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Zurich Airport (ZRH)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Zurich Airport (ZRH)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Zurich Airport (ZRH)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Vienna International Airport (VIE)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Vienna International Airport (VIE)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Vienna International Airport (VIE)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Vienna International Airport (VIE)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Vienna International Airport (VIE)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Istanbul Airport (IST)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Istanbul Airport (IST)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Istanbul Airport (IST)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Istanbul Airport (IST)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Istanbul Airport (IST)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Copenhagen Airport (CPH)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Copenhagen Airport (CPH)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Copenhagen Airport (CPH)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Copenhagen Airport (CPH)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Copenhagen Airport (CPH)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Oslo Gardermoen Airport (OSL)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Oslo Gardermoen Airport (OSL)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Oslo Gardermoen Airport (OSL)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Oslo Gardermoen Airport (OSL)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Oslo Gardermoen Airport (OSL)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Stockholm Arlanda Airport (ARN)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Stockholm Arlanda Airport (ARN)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Stockholm Arlanda Airport (ARN)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Stockholm Arlanda Airport (ARN)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Stockholm Arlanda Airport (ARN)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Dublin Airport (DUB)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Dublin Airport (DUB)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Dublin Airport (DUB)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Dublin Airport (DUB)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Dublin Airport (DUB)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Brussels Airport (BRU)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Brussels Airport (BRU)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Brussels Airport (BRU)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Brussels Airport (BRU)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Brussels Airport (BRU)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Lisbon Humberto Delgado Airport (LIS)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Lisbon Humberto Delgado Airport (LIS)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Lisbon Humberto Delgado Airport (LIS)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Lisbon Humberto Delgado Airport (LIS)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Lisbon Humberto Delgado Airport (LIS)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Athens International Airport (ATH)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Athens International Airport (ATH)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Athens International Airport (ATH)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Athens International Airport (ATH)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Athens International Airport (ATH)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Warsaw Chopin Airport (WAW)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Warsaw Chopin Airport (WAW)', 'Air France']
['Amsterdam Airport Schiphol (AMS)', 'Warsaw Chopin Airport (WAW)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Warsaw Chopin Airport (WAW)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Warsaw Chopin Airport (WAW)', 'KLM Royal Dutch Airlines']
['Amsterdam Airport Schiphol (AMS)', 'Prague Václav Havel Airport (PRG)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Prague Václav Havel Airport (PRG)', 'Air France']
