['Indira Gandhi International Airport (DEL)', 'Chennai International Airport (MAA)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Los Angeles International Airport (LAX)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'John F. Kennedy International Airport (JFK)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'John F. Kennedy International Airport (JFK)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'John F. Kennedy International Airport (JFK)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'John F. Kennedy International Airport (JFK)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'John F. Kennedy International Airport (JFK)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Philadelphia International Airport (PHL)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Philadelphia International Airport (PHL)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Philadelphia International Airport (PHL)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Philadelphia International Airport (PHL)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Philadelphia International Airport (PHL)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'London Heathrow Airport (LHR)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'London Heathrow Airport (LHR)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'London Heathrow Airport (LHR)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'London Heathrow Airport (LHR)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'London Heathrow Airport (LHR)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Paris Charles de Gaulle Airport (CDG)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Paris Charles de Gaulle Airport (CDG)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Paris Charles de Gaulle Airport (CDG)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Paris Charles de Gaulle Airport (CDG)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Frankfurt Airport (FRA)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Frankfurt Airport (FRA)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Frankfurt Airport (FRA)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Frankfurt Airport (FRA)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Frankfurt Airport (FRA)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Barcelona-El Prat Airport (BCN)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Barcelona-El Prat Airport (BCN)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Barcelona-El Prat Airport (BCN)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Barcelona-El Prat Airport (BCN)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Copenhagen Airport (CPH)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Copenhagen Airport (CPH)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Copenhagen Airport (CPH)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Copenhagen Airport (CPH)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Copenhagen Airport (CPH)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Domodedovo International Airport (DME)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Domodedovo International Airport (DME)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Domodedovo International Airport (DME)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Domodedovo International Airport (DME)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Domodedovo International Airport (DME)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Tokyo Haneda Airport (HND)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Tokyo Haneda Airport (HND)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Tokyo Haneda Airport (HND)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Tokyo Haneda Airport (HND)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Tokyo Haneda Airport (HND)', 'Qatar Airways']
['Indira Gandhi International Airport (DEL)', 'Dubai International Airport (DXB)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Dubai International Airport (DXB)', 'American Airlines']
['Indira Gandhi International Airport (DEL)', 'Dubai International Airport (DXB)', 'Emirates']
['Indira Gandhi International Airport (DEL)', 'Dubai International Airport (DXB)', 'British Airways']
['Indira Gandhi International Airport (DEL)', 'Dubai International Airport (DXB)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Pune International Airport (PNQ)', 'Air India']
['Chennai International Airport (MAA)', 'Pune International Airport (PNQ)', 'American Airlines']
['Chennai International Airport (MAA)', 'Pune International Airport (PNQ)', 'Emirates']
['Chennai International Airport (MAA)', 'Pune International Airport (PNQ)', 'British Airways']
['Chennai International Airport (MAA)', 'Pune International Airport (PNQ)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'Air India']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'American Airlines']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'Emirates']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'British Airways']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'Air India']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'American Airlines']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'Emirates']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'British Airways']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Mangaluru International Airport (IXE)', 'Air India']
['Chennai International Airport (MAA)', 'Mangaluru International Airport (IXE)', 'American Airlines']
['Chennai International Airport (MAA)', 'Mangaluru International Airport (IXE)', 'Emirates']
['Chennai International Airport (MAA)', 'Mangaluru International Airport (IXE)', 'British Airways']
['Chennai International Airport (MAA)', 'Mangaluru International Airport (IXE)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'Air India']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'American Airlines']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'Emirates']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'British Airways']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Boston Logan International Airport (BOS)', 'Air India']
['Chennai International Airport (MAA)', 'Boston Logan International Airport (BOS)', 'American Airlines']
['Chennai International Airport (MAA)', 'Boston Logan International Airport (BOS)', 'Emirates']
['Chennai International Airport (MAA)', 'Boston Logan International Airport (BOS)', 'British Airways']
['Chennai International Airport (MAA)', 'Boston Logan International Airport (BOS)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Los Angeles International Airport (LAX)', 'Air India']
['Chennai International Airport (MAA)', 'Los Angeles International Airport (LAX)', 'American Airlines']
['Chennai International Airport (MAA)', 'Los Angeles International Airport (LAX)', 'Emirates']
['Chennai International Airport (MAA)', 'Los Angeles International Airport (LAX)', 'British Airways']
['Chennai International Airport (MAA)', 'Los Angeles International Airport (LAX)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'John F. Kennedy International Airport (JFK)', 'Air India']
['Chennai International Airport (MAA)', 'John F. Kennedy International Airport (JFK)', 'American Airlines']
['Chennai International Airport (MAA)', 'John F. Kennedy International Airport (JFK)', 'Emirates']
['Chennai International Airport (MAA)', 'John F. Kennedy International Airport (JFK)', 'British Airways']
['Chennai International Airport (MAA)', 'John F. Kennedy International Airport (JFK)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Philadelphia International Airport (PHL)', 'Air India']
['Chennai International Airport (MAA)', 'Philadelphia International Airport (PHL)', 'American Airlines']
['Chennai International Airport (MAA)', 'Philadelphia International Airport (PHL)', 'Emirates']
['Chennai International Airport (MAA)', 'Philadelphia International Airport (PHL)', 'British Airways']
['Chennai International Airport (MAA)', 'Philadelphia International Airport (PHL)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'London Heathrow Airport (LHR)', 'Air India']
['Chennai International Airport (MAA)', 'London Heathrow Airport (LHR)', 'American Airlines']
['Chennai International Airport (MAA)', 'London Heathrow Airport (LHR)', 'Emirates']
['Chennai International Airport (MAA)', 'London Heathrow Airport (LHR)', 'British Airways']
['Chennai International Airport (MAA)', 'London Heathrow Airport (LHR)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Paris Charles de Gaulle Airport (CDG)', 'Air India']
['Chennai International Airport (MAA)', 'Paris Charles de Gaulle Airport (CDG)', 'American Airlines']
['Chennai International Airport (MAA)', 'Paris Charles de Gaulle Airport (CDG)', 'Emirates']
['Chennai International Airport (MAA)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Chennai International Airport (MAA)', 'Paris Charles de Gaulle Airport (CDG)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Frankfurt Airport (FRA)', 'Air India']
['Chennai International Airport (MAA)', 'Frankfurt Airport (FRA)', 'American Airlines']
['Chennai International Airport (MAA)', 'Frankfurt Airport (FRA)', 'Emirates']
['Chennai International Airport (MAA)', 'Frankfurt Airport (FRA)', 'British Airways']
['Chennai International Airport (MAA)', 'Frankfurt Airport (FRA)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Barcelona-El Prat Airport (BCN)', 'Air India']
['Chennai International Airport (MAA)', 'Barcelona-El Prat Airport (BCN)', 'American Airlines']
['Chennai International Airport (MAA)', 'Barcelona-El Prat Airport (BCN)', 'Emirates']
['Chennai International Airport (MAA)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Chennai International Airport (MAA)', 'Barcelona-El Prat Airport (BCN)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Copenhagen Airport (CPH)', 'Air India']
['Chennai International Airport (MAA)', 'Copenhagen Airport (CPH)', 'American Airlines']
['Chennai International Airport (MAA)', 'Copenhagen Airport (CPH)', 'Emirates']
['Chennai International Airport (MAA)', 'Copenhagen Airport (CPH)', 'British Airways']
['Chennai International Airport (MAA)', 'Copenhagen Airport (CPH)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Domodedovo International Airport (DME)', 'Air India']
['Chennai International Airport (MAA)', 'Domodedovo International Airport (DME)', 'American Airlines']
['Chennai International Airport (MAA)', 'Domodedovo International Airport (DME)', 'Emirates']
['Chennai International Airport (MAA)', 'Domodedovo International Airport (DME)', 'British Airways']
['Chennai International Airport (MAA)', 'Domodedovo International Airport (DME)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Tokyo Haneda Airport (HND)', 'Air India']
['Chennai International Airport (MAA)', 'Tokyo Haneda Airport (HND)', 'American Airlines']
['Chennai International Airport (MAA)', 'Tokyo Haneda Airport (HND)', 'Emirates']
['Chennai International Airport (MAA)', 'Tokyo Haneda Airport (HND)', 'British Airways']
['Chennai International Airport (MAA)', 'Tokyo Haneda Airport (HND)', 'Qatar Airways']
['Chennai International Airport (MAA)', 'Dubai International Airport (DXB)', 'Air India']
['Chennai International Airport (MAA)', 'Dubai International Airport (DXB)', 'American Airlines']
['Chennai International Airport (MAA)', 'Dubai International Airport (DXB)', 'Emirates']
['Chennai International Airport (MAA)', 'Dubai International Airport (DXB)', 'British Airways']
['Chennai International Airport (MAA)', 'Dubai International Airport (DXB)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Goa International Airport (GOI)', 'Air India']
['Pune International Airport (PNQ)', 'Goa International Airport (GOI)', 'American Airlines']
['Pune International Airport (PNQ)', 'Goa International Airport (GOI)', 'Emirates']
['Pune International Airport (PNQ)', 'Goa International Airport (GOI)', 'British Airways']
['Pune International Airport (PNQ)', 'Goa International Airport (GOI)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Trivandrum International Airport (TRV)', 'Air India']
['Pune International Airport (PNQ)', 'Trivandrum International Airport (TRV)', 'American Airlines']
['Pune International Airport (PNQ)', 'Trivandrum International Airport (TRV)', 'Emirates']
['Pune International Airport (PNQ)', 'Trivandrum International Airport (TRV)', 'British Airways']
['Pune International Airport (PNQ)', 'Trivandrum International Airport (TRV)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Mangaluru International Airport (IXE)', 'Air India']
['Pune International Airport (PNQ)', 'Mangaluru International Airport (IXE)', 'American Airlines']
['Pune International Airport (PNQ)', 'Mangaluru International Airport (IXE)', 'Emirates']
['Pune International Airport (PNQ)', 'Mangaluru International Airport (IXE)', 'British Airways']
['Pune International Airport (PNQ)', 'Mangaluru International Airport (IXE)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Visakhapatnam Airport (VTZ)', 'Air India']
['Pune International Airport (PNQ)', 'Visakhapatnam Airport (VTZ)', 'American Airlines']
['Pune International Airport (PNQ)', 'Visakhapatnam Airport (VTZ)', 'Emirates']
['Pune International Airport (PNQ)', 'Visakhapatnam Airport (VTZ)', 'British Airways']
['Pune International Airport (PNQ)', 'Visakhapatnam Airport (VTZ)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Boston Logan International Airport (BOS)', 'Air India']
['Pune International Airport (PNQ)', 'Boston Logan International Airport (BOS)', 'American Airlines']
['Pune International Airport (PNQ)', 'Boston Logan International Airport (BOS)', 'Emirates']
['Pune International Airport (PNQ)', 'Boston Logan International Airport (BOS)', 'British Airways']
['Pune International Airport (PNQ)', 'Boston Logan International Airport (BOS)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Los Angeles International Airport (LAX)', 'Air India']
['Pune International Airport (PNQ)', 'Los Angeles International Airport (LAX)', 'American Airlines']
['Pune International Airport (PNQ)', 'Los Angeles International Airport (LAX)', 'Emirates']
['Pune International Airport (PNQ)', 'Los Angeles International Airport (LAX)', 'British Airways']
['Pune International Airport (PNQ)', 'Los Angeles International Airport (LAX)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'John F. Kennedy International Airport (JFK)', 'Air India']
['Pune International Airport (PNQ)', 'John F. Kennedy International Airport (JFK)', 'American Airlines']
['Pune International Airport (PNQ)', 'John F. Kennedy International Airport (JFK)', 'Emirates']
['Pune International Airport (PNQ)', 'John F. Kennedy International Airport (JFK)', 'British Airways']
['Pune International Airport (PNQ)', 'John F. Kennedy International Airport (JFK)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Philadelphia International Airport (PHL)', 'Air India']
['Pune International Airport (PNQ)', 'Philadelphia International Airport (PHL)', 'American Airlines']
['Pune International Airport (PNQ)', 'Philadelphia International Airport (PHL)', 'Emirates']
['Pune International Airport (PNQ)', 'Philadelphia International Airport (PHL)', 'British Airways']
['Pune International Airport (PNQ)', 'Philadelphia International Airport (PHL)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'London Heathrow Airport (LHR)', 'Air India']
['Pune International Airport (PNQ)', 'London Heathrow Airport (LHR)', 'American Airlines']
['Pune International Airport (PNQ)', 'London Heathrow Airport (LHR)', 'Emirates']
['Pune International Airport (PNQ)', 'London Heathrow Airport (LHR)', 'British Airways']
['Pune International Airport (PNQ)', 'London Heathrow Airport (LHR)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Paris Charles de Gaulle Airport (CDG)', 'Air India']
['Pune International Airport (PNQ)', 'Paris Charles de Gaulle Airport (CDG)', 'American Airlines']
['Pune International Airport (PNQ)', 'Paris Charles de Gaulle Airport (CDG)', 'Emirates']
['Pune International Airport (PNQ)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Pune International Airport (PNQ)', 'Paris Charles de Gaulle Airport (CDG)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Frankfurt Airport (FRA)', 'Air India']
['Pune International Airport (PNQ)', 'Frankfurt Airport (FRA)', 'American Airlines']
['Pune International Airport (PNQ)', 'Frankfurt Airport (FRA)', 'Emirates']
['Pune International Airport (PNQ)', 'Frankfurt Airport (FRA)', 'British Airways']
['Pune International Airport (PNQ)', 'Frankfurt Airport (FRA)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Barcelona-El Prat Airport (BCN)', 'Air India']
['Pune International Airport (PNQ)', 'Barcelona-El Prat Airport (BCN)', 'American Airlines']
['Pune International Airport (PNQ)', 'Barcelona-El Prat Airport (BCN)', 'Emirates']
['Pune International Airport (PNQ)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Pune International Airport (PNQ)', 'Barcelona-El Prat Airport (BCN)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Copenhagen Airport (CPH)', 'Air India']
['Pune International Airport (PNQ)', 'Copenhagen Airport (CPH)', 'American Airlines']
['Pune International Airport (PNQ)', 'Copenhagen Airport (CPH)', 'Emirates']
['Pune International Airport (PNQ)', 'Copenhagen Airport (CPH)', 'British Airways']
['Pune International Airport (PNQ)', 'Copenhagen Airport (CPH)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Domodedovo International Airport (DME)', 'Air India']
['Pune International Airport (PNQ)', 'Domodedovo International Airport (DME)', 'American Airlines']
['Pune International Airport (PNQ)', 'Domodedovo International Airport (DME)', 'Emirates']
['Pune International Airport (PNQ)', 'Domodedovo International Airport (DME)', 'British Airways']
['Pune International Airport (PNQ)', 'Domodedovo International Airport (DME)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Tokyo Haneda Airport (HND)', 'Air India']
['Pune International Airport (PNQ)', 'Tokyo Haneda Airport (HND)', 'American Airlines']
['Pune International Airport (PNQ)', 'Tokyo Haneda Airport (HND)', 'Emirates']
['Pune International Airport (PNQ)', 'Tokyo Haneda Airport (HND)', 'British Airways']
['Pune International Airport (PNQ)', 'Tokyo Haneda Airport (HND)', 'Qatar Airways']
['Pune International Airport (PNQ)', 'Dubai International Airport (DXB)', 'Air India']
['Pune International Airport (PNQ)', 'Dubai International Airport (DXB)', 'American Airlines']
['Pune International Airport (PNQ)', 'Dubai International Airport (DXB)', 'Emirates']
['Pune International Airport (PNQ)', 'Dubai International Airport (DXB)', 'British Airways']
['Pune International Airport (PNQ)', 'Dubai International Airport (DXB)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Trivandrum International Airport (TRV)', 'Air India']
['Goa International Airport (GOI)', 'Trivandrum International Airport (TRV)', 'American Airlines']
['Goa International Airport (GOI)', 'Trivandrum International Airport (TRV)', 'Emirates']
['Goa International Airport (GOI)', 'Trivandrum International Airport (TRV)', 'British Airways']
['Goa International Airport (GOI)', 'Trivandrum International Airport (TRV)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Mangaluru International Airport (IXE)', 'Air India']
['Goa International Airport (GOI)', 'Mangaluru International Airport (IXE)', 'American Airlines']
['Goa International Airport (GOI)', 'Mangaluru International Airport (IXE)', 'Emirates']
['Goa International Airport (GOI)', 'Mangaluru International Airport (IXE)', 'British Airways']
['Goa International Airport (GOI)', 'Mangaluru International Airport (IXE)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Visakhapatnam Airport (VTZ)', 'Air India']
['Goa International Airport (GOI)', 'Visakhapatnam Airport (VTZ)', 'American Airlines']
['Goa International Airport (GOI)', 'Visakhapatnam Airport (VTZ)', 'Emirates']
['Goa International Airport (GOI)', 'Visakhapatnam Airport (VTZ)', 'British Airways']
['Goa International Airport (GOI)', 'Visakhapatnam Airport (VTZ)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Boston Logan International Airport (BOS)', 'Air India']
['Goa International Airport (GOI)', 'Boston Logan International Airport (BOS)', 'American Airlines']
['Goa International Airport (GOI)', 'Boston Logan International Airport (BOS)', 'Emirates']
['Goa International Airport (GOI)', 'Boston Logan International Airport (BOS)', 'British Airways']
['Goa International Airport (GOI)', 'Boston Logan International Airport (BOS)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Los Angeles International Airport (LAX)', 'Air India']
['Goa International Airport (GOI)', 'Los Angeles International Airport (LAX)', 'American Airlines']
['Goa International Airport (GOI)', 'Los Angeles International Airport (LAX)', 'Emirates']
['Goa International Airport (GOI)', 'Los Angeles International Airport (LAX)', 'British Airways']
['Goa International Airport (GOI)', 'Los Angeles International Airport (LAX)', 'Qatar Airways']
['Goa International Airport (GOI)', 'John F. Kennedy International Airport (JFK)', 'Air India']
['Goa International Airport (GOI)', 'John F. Kennedy International Airport (JFK)', 'American Airlines']
['Goa International Airport (GOI)', 'John F. Kennedy International Airport (JFK)', 'Emirates']
['Goa International Airport (GOI)', 'John F. Kennedy International Airport (JFK)', 'British Airways']
['Goa International Airport (GOI)', 'John F. Kennedy International Airport (JFK)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Philadelphia International Airport (PHL)', 'Air India']
['Goa International Airport (GOI)', 'Philadelphia International Airport (PHL)', 'American Airlines']
['Goa International Airport (GOI)', 'Philadelphia International Airport (PHL)', 'Emirates']
['Goa International Airport (GOI)', 'Philadelphia International Airport (PHL)', 'British Airways']
['Goa International Airport (GOI)', 'Philadelphia International Airport (PHL)', 'Qatar Airways']
['Goa International Airport (GOI)', 'London Heathrow Airport (LHR)', 'Air India']
['Goa International Airport (GOI)', 'London Heathrow Airport (LHR)', 'American Airlines']
['Goa International Airport (GOI)', 'London Heathrow Airport (LHR)', 'Emirates']
['Goa International Airport (GOI)', 'London Heathrow Airport (LHR)', 'British Airways']
['Goa International Airport (GOI)', 'London Heathrow Airport (LHR)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Paris Charles de Gaulle Airport (CDG)', 'Air India']
['Goa International Airport (GOI)', 'Paris Charles de Gaulle Airport (CDG)', 'American Airlines']
['Goa International Airport (GOI)', 'Paris Charles de Gaulle Airport (CDG)', 'Emirates']
['Goa International Airport (GOI)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Goa International Airport (GOI)', 'Paris Charles de Gaulle Airport (CDG)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Frankfurt Airport (FRA)', 'Air India']
['Goa International Airport (GOI)', 'Frankfurt Airport (FRA)', 'American Airlines']
['Goa International Airport (GOI)', 'Frankfurt Airport (FRA)', 'Emirates']
['Goa International Airport (GOI)', 'Frankfurt Airport (FRA)', 'British Airways']
['Goa International Airport (GOI)', 'Frankfurt Airport (FRA)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Barcelona-El Prat Airport (BCN)', 'Air India']
['Goa International Airport (GOI)', 'Barcelona-El Prat Airport (BCN)', 'American Airlines']
['Goa International Airport (GOI)', 'Barcelona-El Prat Airport (BCN)', 'Emirates']
['Goa International Airport (GOI)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Goa International Airport (GOI)', 'Barcelona-El Prat Airport (BCN)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Copenhagen Airport (CPH)', 'Air India']
['Goa International Airport (GOI)', 'Copenhagen Airport (CPH)', 'American Airlines']
['Goa International Airport (GOI)', 'Copenhagen Airport (CPH)', 'Emirates']
['Goa International Airport (GOI)', 'Copenhagen Airport (CPH)', 'British Airways']
['Goa International Airport (GOI)', 'Copenhagen Airport (CPH)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Domodedovo International Airport (DME)', 'Air India']
['Goa International Airport (GOI)', 'Domodedovo International Airport (DME)', 'American Airlines']
['Goa International Airport (GOI)', 'Domodedovo International Airport (DME)', 'Emirates']
['Goa International Airport (GOI)', 'Domodedovo International Airport (DME)', 'British Airways']
['Goa International Airport (GOI)', 'Domodedovo International Airport (DME)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Tokyo Haneda Airport (HND)', 'Air India']
['Goa International Airport (GOI)', 'Tokyo Haneda Airport (HND)', 'American Airlines']
['Goa International Airport (GOI)', 'Tokyo Haneda Airport (HND)', 'Emirates']
['Goa International Airport (GOI)', 'Tokyo Haneda Airport (HND)', 'British Airways']
['Goa International Airport (GOI)', 'Tokyo Haneda Airport (HND)', 'Qatar Airways']
['Goa International Airport (GOI)', 'Dubai International Airport (DXB)', 'Air India']
